Designator,Mid X,Mid Y,Layer,Rotation
"C1",67.105000,-123.825000,top,180.000000
"C2",73.660000,-125.095000,top,0.000000
"C3",69.850000,-110.285000,top,-90.000000
"C4",62.865000,-115.430000,top,-90.000000
"C5",73.660000,-110.285000,top,-90.000000
"C6",63.360000,-108.585000,top,0.000000
"C7",62.230000,-111.760000,top,180.000000
"C8",104.189000,-108.839000,top,0.000000
"C9",104.189000,-119.634000,top,0.000000
"C11",137.160000,-156.415000,top,90.000000
"C18",134.923000,-188.849000,top,0.000000
"C19",134.923000,-199.644000,top,0.000000
"D1",73.025000,-119.475000,top,90.000000
"J1",64.770000,-137.160000,top,180.000000
"J2",63.080000,-165.100000,top,90.000000
"J3",63.080000,-193.820000,top,90.000000
"J5",110.490000,-129.540000,top,90.000000
"J6",104.140000,-142.240000,top,0.000000
"J7",124.460000,-129.540000,top,0.000000
"J8",125.730000,-186.690000,top,-90.000000
"J9",81.280000,-127.000000,top,90.000000
"J10",124.460000,-198.120000,top,0.000000
"JP2",142.240000,-119.380000,top,180.000000
"JP5",80.010000,-157.480000,top,180.000000
"R1",63.222500,-105.410000,top,0.000000
"R2",55.245000,-115.292500,top,-90.000000
"R3",59.055000,-115.292500,top,-90.000000
"R8",74.930000,-154.940000,top,-90.000000
"U5",67.310000,-117.635000,top,-90.000000
"U6",106.894000,-114.294000,top,0.000000
"U7",137.628000,-194.304000,top,0.000000
